,Society_N,Society_P,Jobs_N,Jobs_P,Taxes_N,Taxes_P,Societal_Infrastructure_N,Societal_Infrastructure_P,Societal_Stability_N,Societal_Stability_P,EQUALITY_HUMAN RIGHTS_N,EQUALITY_HUMAN RIGHTS_P,Knowledge_N,Knowledge_P,Knowledge_Infrastructure_N,Knowledge_Infrastructure_P,Creating_Knowledge_N,Creating_Knowledge_P,Distributing_Knowledge_N,Distributing_Knowledge_P,Scarce_Human_Capital_N,Scarce_Human_Capital_P,Health_N,Health_P,Physical Diseases_N,Physical Diseases_P,Mental Diseases_N,Mental Diseases_P,Nutrition_N,Nutrition_P,Relationships_N,Relationships_P,Meaning_Joy_N,Meaning_Joy_P,Environment_N,Environment_P,GHG_Emissions_N,GHG_Emissions_P,Non-GHG_Emissions_N,Non-GHG_Emissions_P,Scarce_Natural_resources_N,Scarce_Natural_resources_P,Biodiversity_N,Biodiversity_P,Waste_N,Waste_P,Millennials,Most Wanted Workforce,Society First,Knowledge First,Health First,Net Impact Ratio
GOOG,-0.06,2.77,0.0,0.85,0.0,1.71,0.0,0.16,-0.04,0.04,-0.01,0.02,-2.27,2.83,0.0,0.38,0.0,1.33,-0.1,1.11,-2.17,0.0,-0.36,0.46,-0.17,0.07,-0.05,0.03,0.0,0.01,-0.04,0.2,-0.11,0.15,-0.59,0.03,-0.35,0.02,-0.06,0.01,-0.02,0.0,-0.01,0.0,-0.15,0.0,0.564,0.43,0.43,0.37,0.823,0.462
INTC,-0.06,2.25,0.0,0.68,0.0,1.31,0.0,0.12,-0.05,0.12,-0.01,0.02,-1.28,1.54,0.0,0.75,0.0,0.5,-0.0,0.3,-1.28,0.0,-0.2,0.5,-0.12,0.16,-0.04,0.03,0.0,0.01,-0.03,0.19,-0.01,0.1,-1.23,0.16,-0.73,0.1,-0.14,0.06,-0.04,0.0,-0.03,0.0,-0.3,0.0,0.528,0.327,0.327,0.29100000000000004,0.775,0.376
MSFT,-0.28,3.49,0.0,1.06,0.0,2.09,0.0,0.18,-0.27,0.13,-0.01,0.03,-3.12,2.17,0.0,0.97,0.0,0.38,-0.02,0.82,-3.11,0.0,-0.9,1.3,-0.37,0.15,-0.14,0.04,0.0,0.0,-0.2,0.79,-0.18,0.32,-0.75,0.05,-0.45,0.03,-0.07,0.01,-0.04,0.0,-0.02,0.0,-0.16,0.0,0.39399999999999996,0.183,0.183,0.201,0.69,0.278
PYPL,-0.02,3.31,0.0,0.54,0.0,1.26,0.0,1.39,-0.01,0.05,-0.01,0.07,-2.17,0.16,0.0,0.13,0.0,0.0,-0.0,0.03,-2.17,0.0,-0.04,0.21,-0.03,0.01,-0.01,0.0,0.0,0.0,-0.0,0.04,-0.0,0.16,-0.29,0.01,-0.18,0.0,-0.03,0.0,-0.01,0.0,-0.01,0.0,-0.07,0.0,0.375,0.22,0.22,0.455,0.122,0.316
AAPL,-0.34,2.76,0.0,0.75,0.0,1.58,0.0,0.11,-0.2,0.24,-0.14,0.09,-1.65,2.57,0.0,1.39,0.0,0.07,-0.03,1.11,-1.62,0.0,-0.92,2.21,-0.35,0.3,-0.24,0.13,0.0,0.0,-0.26,1.23,-0.08,0.55,-2.09,0.09,-0.91,0.07,-0.14,0.01,-0.42,0.0,-0.02,0.0,-0.6,0.02,0.49200000000000005,0.249,0.249,0.245,0.779,0.344
NVDA,-0.07,2.84,0.0,0.91,0.0,1.68,0.0,0.13,-0.06,0.1,-0.0,0.01,-2.11,1.52,0.0,0.62,0.0,0.72,-0.0,0.17,-2.11,0.0,-0.25,0.81,-0.17,0.27,-0.03,0.06,0.0,0.01,-0.03,0.22,-0.01,0.25,-1.23,0.07,-0.62,0.04,-0.13,0.02,-0.04,0.0,-0.02,0.0,-0.42,0.0,0.43799999999999994,0.23399999999999999,0.23399999999999999,0.20199999999999999,0.6940000000000001,0.304
CSCO,-0.1,3.05,0.0,0.84,0.0,1.76,0.0,0.16,-0.1,0.28,-0.0,0.02,-2.57,2.69,0.0,1.87,0.0,0.57,-0.0,0.26,-2.57,0.0,-0.22,1.68,-0.1,0.2,-0.05,0.05,0.0,0.0,-0.05,0.95,-0.02,0.48,-0.81,0.05,-0.47,0.04,-0.06,0.01,-0.02,0.0,-0.02,0.0,-0.24,0.0,0.5760000000000001,0.45799999999999996,0.45799999999999996,0.441,0.802,0.504
EXC,-0.09,4.56,0.0,0.88,0.0,1.17,0.0,2.5,-0.08,0.01,-0.02,0.0,-1.17,0.21,0.0,0.04,0.0,0.14,-0.0,0.03,-1.17,0.0,-0.23,0.12,-0.13,0.1,-0.06,0.0,0.0,0.0,-0.01,0.0,-0.02,0.01,-3.44,2.91,-0.77,2.27,-0.58,0.53,-0.46,0.0,-0.31,0.0,-1.32,0.11,0.563,0.28,0.28,0.47,0.375,0.368
ADBE,-0.06,3.4,0.0,0.91,0.0,2.29,0.0,0.12,-0.06,0.07,-0.0,0.01,-3.69,1.83,0.0,1.3,0.0,0.23,-0.02,0.29,-3.67,0.0,-0.2,1.43,-0.06,0.17,-0.02,0.03,0.0,0.0,-0.05,0.75,-0.07,0.49,-0.54,0.02,-0.31,0.02,-0.04,0.01,-0.02,0.0,-0.01,0.0,-0.15,0.0,0.39299999999999996,0.253,0.253,0.253,0.649,0.32799999999999996
INTU,-0.01,3.41,0.0,0.74,0.0,2.11,0.0,0.36,-0.0,0.07,-0.01,0.12,-2.97,0.97,0.0,0.17,0.0,0.01,-0.0,0.79,-2.97,0.0,-0.03,0.35,-0.01,0.01,-0.0,0.0,0.0,0.0,-0.01,0.06,-0.0,0.27,-0.19,0.01,-0.11,0.0,-0.02,0.0,-0.01,0.0,-0.01,0.0,-0.05,0.0,0.386,0.261,0.261,0.331,0.55,0.326
WDAY,-0.01,3.79,0.0,1.11,0.0,2.28,0.0,0.03,-0.0,0.36,-0.01,0.02,-2.65,1.37,0.0,0.11,0.0,0.07,-0.0,1.19,-2.65,0.0,-0.03,0.37,-0.01,0.02,-0.0,0.0,0.0,0.0,-0.02,0.04,-0.0,0.31,-0.24,0.01,-0.12,0.01,-0.03,0.0,-0.02,0.0,-0.02,0.0,-0.06,0.0,0.527,0.426,0.426,0.449,0.6920000000000001,0.47100000000000003
ILMN,-0.01,4.26,0.0,1.9,0.0,2.31,0.0,0.04,-0.0,0.0,-0.0,0.02,-1.9,2.07,0.0,0.0,0.0,0.81,-0.0,1.26,-1.9,0.0,-0.08,2.22,-0.07,1.53,-0.0,0.21,0.0,0.0,-0.0,0.26,-0.01,0.21,-1.25,0.18,-0.67,0.08,-0.09,0.05,-0.01,0.0,-0.01,0.0,-0.47,0.05,0.691,0.585,0.585,0.489,0.812,0.63
BIIB,-0.19,2.55,0.0,0.48,0.0,1.8,0.0,0.21,-0.01,0.05,-0.18,0.02,-1.58,0.27,0.0,0.0,0.0,0.26,-0.0,0.0,-1.58,0.0,-0.98,5.84,-0.96,5.12,-0.03,0.43,0.0,0.0,-0.0,0.0,-0.0,0.29,-2.23,0.04,-0.99,0.02,-0.2,0.01,-0.12,0.0,-0.08,0.0,-0.84,0.01,0.488,0.242,0.242,-0.539,0.41700000000000004,0.426
AMAT,-0.03,2.6,0.0,0.78,0.0,1.6,0.0,0.2,-0.03,0.01,-0.0,0.01,-1.55,0.81,0.0,0.68,0.0,0.09,-0.0,0.04,-1.55,0.0,-0.1,0.19,-0.07,0.07,-0.01,0.01,0.0,0.0,-0.01,0.06,-0.0,0.04,-1.5,0.18,-0.89,0.12,-0.07,0.05,-0.02,0.0,-0.01,0.0,-0.5,0.01,0.35700000000000004,0.081,0.081,0.11,0.5720000000000001,0.159
EQIX,-0.1,3.42,0.0,1.01,0.0,1.89,0.0,0.4,-0.09,0.08,-0.01,0.04,-3.01,2.26,0.0,1.43,0.0,0.34,-0.0,0.5,-3.01,0.0,-0.36,0.46,-0.16,0.07,-0.08,0.02,0.0,0.0,-0.08,0.24,-0.04,0.12,-1.09,0.08,-0.73,0.06,-0.12,0.02,-0.05,0.0,-0.04,0.0,-0.15,0.0,0.409,0.215,0.215,0.204,0.715,0.268
AKAM,-0.13,4.01,0.0,1.19,0.0,2.12,0.0,0.2,-0.13,0.48,-0.0,0.01,-3.57,2.06,0.0,1.32,0.0,0.32,-0.0,0.42,-3.57,0.0,-0.35,0.68,-0.16,0.1,-0.04,0.02,0.0,0.0,-0.1,0.15,-0.05,0.41,-0.75,0.05,-0.47,0.03,-0.08,0.01,-0.04,0.0,-0.03,0.0,-0.13,0.0,0.39799999999999996,0.228,0.228,0.255,0.67,0.293
