TICKER,Health_N,Health_P,Physical Diseases_N,Physical Diseases_P,Mental Diseases_N,Mental Diseases_P,Nutrition_N,Nutrition_P,Relationships_N,Relationships_P,Meaning_Joy_N,Meaning_Joy_P
WDAY,-0.03,0.37,-0.01,0.02,-0.0,0.0,0.0,0.0,-0.02,0.04,-0.0,0.31
PANW,-0.1,0.61,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.02,0.05,-0.0,0.51
ABMD,-0.37,3.58,-0.36,2.83,-0.0,0.37,0.0,0.0,-0.01,0.01,-0.0,0.37
ADBE,-0.2,1.43,-0.06,0.17,-0.02,0.03,0.0,0.0,-0.05,0.75,-0.07,0.49
AMD,-0.19,0.47,-0.12,0.16,-0.03,0.02,0.0,0.02,-0.03,0.16,-0.01,0.1
AKAM,-0.35,0.68,-0.16,0.1,-0.04,0.02,0.0,0.0,-0.1,0.15,-0.05,0.41
ALGN,-0.81,2.91,-0.8,2.34,-0.0,0.51,0.0,0.0,-0.0,0.01,-0.0,0.05
LNT,-0.35,0.13,-0.24,0.07,-0.07,0.0,0.0,0.01,-0.01,0.01,-0.02,0.04
GOOG,-0.36,0.46,-0.17,0.07,-0.05,0.03,0.0,0.01,-0.04,0.2,-0.11,0.15
AMZN,-0.3,0.87,-0.2,0.12,-0.03,0.02,0.0,0.02,-0.05,0.19,-0.02,0.52
AMGN,-0.93,7.65,-0.9,6.92,-0.03,0.46,0.0,0.0,-0.0,0.0,-0.0,0.27
ADI,-0.22,0.44,-0.12,0.12,-0.05,0.02,0.0,0.01,-0.04,0.18,-0.01,0.11
ANSS,-0.17,0.42,-0.05,0.17,-0.03,0.0,0.0,0.0,-0.05,0.18,-0.04,0.06
AAPL,-0.92,2.21,-0.35,0.3,-0.24,0.13,0.0,0.0,-0.26,1.23,-0.08,0.55
AMAT,-0.1,0.19,-0.07,0.07,-0.01,0.01,0.0,0.0,-0.01,0.06,-0.0,0.04
ADSK,-0.39,0.76,-0.24,0.28,-0.02,0.07,0.0,0.0,-0.09,0.15,-0.04,0.26
ADP,-0.01,0.18,-0.01,0.03,-0.0,0.01,0.0,0.0,-0.0,0.06,-0.0,0.07
BIIB,-0.98,5.84,-0.96,5.12,-0.03,0.43,0.0,0.0,-0.0,0.0,-0.0,0.29
AVGO,-0.25,0.51,-0.13,0.06,-0.07,0.01,0.0,0.0,-0.04,0.24,-0.02,0.2
CDNS,-0.22,0.36,-0.12,0.1,-0.03,0.01,0.0,0.0,-0.04,0.06,-0.03,0.19
CBOE,-0.07,0.09,-0.02,0.04,-0.0,0.01,0.0,0.0,-0.03,0.02,-0.02,0.03
CDW,-0.13,0.38,-0.06,0.16,-0.02,0.05,0.0,0.0,-0.03,0.04,-0.02,0.12
CERN,-0.16,4.01,-0.11,2.67,-0.02,0.97,0.0,0.0,-0.02,0.05,-0.01,0.32
CHTR,-1.39,1.74,-0.79,0.12,-0.26,0.07,0.0,0.0,-0.27,1.12,-0.07,0.42
CINF,-0.14,0.27,-0.09,0.17,-0.02,0.04,0.0,0.0,-0.01,0.02,-0.02,0.04
CTAS,-0.24,1.16,-0.22,0.68,-0.01,0.03,0.0,0.0,-0.0,0.07,-0.01,0.37
CSCO,-0.22,1.68,-0.1,0.2,-0.05,0.05,0.0,0.0,-0.05,0.95,-0.02,0.48
CTXS,-0.13,3.71,-0.05,0.31,-0.02,0.05,0.0,0.0,-0.04,2.35,-0.02,1.0
CME,-0.09,0.12,-0.02,0.05,-0.0,0.01,0.0,0.0,-0.05,0.02,-0.02,0.03
CTSH,-0.14,1.44,-0.09,0.75,-0.02,0.21,0.0,0.03,-0.02,0.1,-0.02,0.34
CMCSA,-1.35,1.49,-0.7,0.19,-0.15,0.06,0.0,0.0,-0.44,0.65,-0.07,0.59
CPRT,-0.06,0.38,-0.05,0.0,-0.0,0.0,0.0,0.0,-0.0,0.04,-0.01,0.34
XRAY,-1.01,4.06,-0.99,3.1,-0.01,0.74,0.0,0.0,-0.01,0.03,-0.0,0.19
DXCM,-0.05,4.63,-0.04,3.88,-0.0,0.23,0.0,0.0,-0.0,0.02,-0.0,0.51
DISCA,-2.02,1.93,-1.02,0.16,-0.1,0.04,0.0,0.0,-0.81,0.7,-0.08,1.02
DISH,-0.98,0.8,-0.59,0.14,-0.07,0.03,0.0,0.0,-0.23,0.25,-0.09,0.39
DLTR,-0.2,0.7,-0.18,0.15,-0.0,0.01,0.0,0.08,-0.0,0.04,-0.01,0.42
EBAY,-0.1,0.58,-0.09,0.13,-0.01,0.01,0.0,0.01,-0.0,0.09,-0.01,0.35
