TICKER,Millennials,Most Wanted Workforce,Society First,Knowledge First,Health First,Net Impact Ratio
WDAY,0.527,0.426,0.426,0.449,0.6920000000000001,0.471
PANW,0.504,0.389,0.389,0.418,0.765,0.419
ABMD,0.6779999999999999,0.551,0.551,0.312,0.506,0.654
ADBE,0.3929999999999999,0.253,0.253,0.253,0.649,0.3279999999999999
AMD,0.4429999999999999,0.1989999999999999,0.1989999999999999,0.18,0.708,0.27
AKAM,0.3979999999999999,0.228,0.228,0.255,0.67,0.293
ALGN,0.562,0.317,0.317,0.0579999999999999,0.3279999999999999,0.469
LNT,0.318,-0.126,-0.126,0.243,0.023,0.021
GOOG,0.564,0.43,0.43,0.37,0.823,0.462
AMZN,0.418,0.18,0.18,0.257,0.6,0.2769999999999999
AMGN,0.5479999999999999,0.347,0.347,-0.654,0.495,0.511
ADI,0.552,0.366,0.366,0.3339999999999999,0.79,0.411
ANSS,0.6,0.496,0.496,0.3989999999999999,0.846,0.506
AAPL,0.492,0.249,0.249,0.245,0.779,0.344
AMAT,0.357,0.081,0.081,0.11,0.5720000000000001,0.159
ADSK,0.344,0.108,0.108,0.081,0.622,0.192
ADP,0.569,0.474,0.474,0.537,0.501,0.531
BIIB,0.488,0.242,0.242,-0.539,0.417,0.426
AVGO,0.478,0.308,0.308,0.276,0.7759999999999999,0.345
CDNS,0.373,0.163,0.163,0.133,0.674,0.2189999999999999
CBOE,0.306,0.148,0.148,0.006,0.731,0.1669999999999999
CDW,0.382,0.2,0.2,0.124,0.7090000000000001,0.244
CERN,0.45,0.3339999999999999,0.3339999999999999,0.0559999999999999,0.374,0.4529999999999999
CHTR,0.55,0.278,0.278,0.32,0.784,0.3879999999999999
CINF,0.3939999999999999,0.1939999999999999,0.1939999999999999,0.4429999999999999,0.057,0.311
CTAS,0.5589999999999999,0.299,0.299,0.321,0.628,0.3939999999999999
CSCO,0.5760000000000001,0.4579999999999999,0.4579999999999999,0.441,0.802,0.504
CTXS,0.5920000000000001,0.508,0.508,0.542,0.757,0.568
CME,0.327,0.162,0.162,0.051,0.7240000000000001,0.195
CTSH,0.621,0.522,0.522,0.485,0.772,0.565
CMCSA,0.525,0.255,0.255,0.335,0.72,0.377
CPRT,0.344,-0.017,-0.017,0.143,0.3389999999999999,0.098
XRAY,0.584,0.353,0.353,0.0139999999999999,0.4379999999999999,0.507
DXCM,0.763,0.6970000000000001,0.6970000000000001,0.4429999999999999,0.6809999999999999,0.7609999999999999
DISCA,0.508,0.1939999999999999,0.1939999999999999,0.297,0.715,0.348
DISH,0.46,0.1689999999999999,0.1689999999999999,0.222,0.7140000000000001,0.278
DLTR,0.419,0.093,0.093,0.2319999999999999,0.115,0.241
EBAY,0.373,0.102,0.102,0.188,0.562,0.2
EA,0.302,-0.146,-0.146,0.069,0.461,0.109
ENPH,0.479,0.195,0.195,0.278,0.6970000000000001,0.264
EQIX,0.409,0.215,0.215,0.204,0.715,0.268
EXC,0.563,0.28,0.28,0.47,0.375,0.368
EXPD,0.603,0.4,0.4,0.598,0.43,0.472
FFIV,0.4639999999999999,0.327,0.327,0.359,0.727,0.366
FB,0.417,0.155,0.155,0.312,0.721,0.352
FAST,0.293,-0.042,-0.042,0.067,0.091,0.094
FITB,0.472,0.305,0.305,0.472,0.485,0.387
FISV,0.2769999999999999,0.0969999999999999,0.0969999999999999,0.326,-0.023,0.207
FTNT,0.527,0.409,0.409,0.442,0.762,0.4429999999999999
FOX,0.511,0.176,0.176,0.297,0.7390000000000001,0.326
GILD,0.629,0.472,0.472,-0.41,0.64,0.602
HAS,0.4679999999999999,0.158,0.158,0.275,0.562,0.326
HSIC,0.433,0.22,0.22,0.1009999999999999,0.395,0.348
HOLX,0.629,0.517,0.517,0.314,0.6759999999999999,0.596
HST,0.332,-0.059,-0.059,0.002,0.504,0.0559999999999999
HBAN,0.514,0.365,0.365,0.555,0.336,0.446
IDXX,0.302,-0.139,-0.139,-0.0559999999999999,0.372,0.066
ILMN,0.691,0.585,0.585,0.489,0.812,0.63
INCY,0.727,0.611,0.611,0.226,0.8220000000000001,0.6920000000000001
INTC,0.528,0.327,0.327,0.291,0.775,0.376
INTU,0.386,0.261,0.261,0.331,0.55,0.326
ISRG,0.597,0.455,0.455,0.236,0.523,0.557
IPGP,0.431,0.196,0.196,0.2689999999999999,0.4,0.292
JKHY,0.245,0.038,0.038,0.309,-0.102,0.154
