zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,fax,trailingPegRatio,address2
94588,Technology,15200.0,"Workday, Inc. provides enterprise cloud applications worldwide. Its applications help its customers to plan, execute, analyze, and extend to other applications and environments, and to manage their business and operations. The company offers a suite of financial management applications, which enable chief financial officers to maintain accounting information in the general ledger; manage financial processes; identify real-time financial, operational, and management insights; enhance financial consolidation; reduce time-to-close; promote internal control and auditability; and achieve consistency across finance operations. It also provides cloud spend management solutions that helps organizations to streamline supplier selection and contracts, manage indirect spend, and build and execute sourcing events, such as requests for proposals; Human Capital Management (HCM) solution, a suite of human capital management applications that allows organizations to manage the entire employee lifecycle from recruitment to retirement, and enables HR teams to hire, onboard, pay, develop, reskill, and provide employee experiences; Workday applications for planning; and applications for analytics and reporting, including augmented analytics to surface insights to the line of business in simple-to-understand stories, machine learning to drive efficiency and automation, and benchmarks to compare performance against other companies. It serves professional and business services, financial services, healthcare, education, government, technology, media, retail, and hospitality industries. The company was formerly known as North Tahoe Power Tools, Inc. and changed its name to Workday, Inc. in July 2005. Workday, Inc. was incorporated in 2005 and is headquartered in Pleasanton, California.",Pleasanton,925 951 9000,CA,United States,[],https://www.workday.com,1.0,6110 Stoneridge Mall Road,Software—Application,0.04423,0.0057200002,0.7221,1650704000.0,0.216,-0.02266,227272992.0,275.0,buy,3710703000.0,1618347520.0,310.0,243.6,,1.029,-0.0075700004,33.0,315.12,46.366,0.0075199995,360.0,3644161024.0,2102755968.0,5138798080.0,14.519,USD,20.784,0.964,1.7,NMS,"Workday, Inc.","Workday, Inc.",America/New_York,EDT,1.0,-14400000,,EQUITY,WDAY,,,finmb_23815047,ee0b6181-c505-339e-b6b1-1498fe62d99c,us_market,,11.193,,253.083,-0.05313486,,4.62,,196000000.0,,,,18.068,8679536.0,0.0346,,1643587200.0,0.92850995,29373000.0,0.115,,0.13260198,13.4824,0.0102699995,1706659200.0,,1643587200.0,3.76,1643587200.0,194489860.0,1.37057,57518895104.0,2.0,,,,,,,,11.373045,1646006400.0,4.92,,52.727276,,0.0446,7732077.0,0.0,,,235.3,234.39,253.3427,0.0,0.0,,245.04,,2405380.0,235.3,236.712,0.0,234.39,,2405380.0,,,,,,,233.28,USD,2118.261,2750282.0,,,,58443780096.0,,,2301680.0,233.28,244.0,1100.0,2750282.0,307.81,,,205.9,243.32,0.0,,1000.0,245.04,243.6,,https://logo.clearbit.com/workday.com,,,
95054,Technology,11527.0,"Palo Alto Networks, Inc. provides cybersecurity solutions worldwide. The company offers firewall appliances and software; Panorama, a security management solution for the control of firewall appliances and software deployed on an end-customer's network and instances in public or private cloud environments, as a virtual or a physical appliance; and virtual system upgrades, which are available as extensions to the virtual system capacity that ships with physical appliances. It also provides subscription services covering the areas of threat prevention, malware and persistent threat, uniform resource locator filtering, laptop and mobile device protection, and firewall; and DNS security, Internet of Things security, SaaS security API, and SaaS security inline, as well as threat intelligence, and data loss prevention. In addition, the company offers cloud security, secure access, security analytics and automation, and threat intelligence and cyber security consulting; professional services, including architecture design and planning, implementation, configuration, and firewall migration; education services, such as certifications, as well as online and in-classroom training; and support services. Palo Alto Networks, Inc. sells its products and services through its channel partners, as well as directly to medium to large enterprises, service providers, and government entities operating in various industries, including education, energy, financial services, government entities, healthcare, Internet and media, manufacturing, public sector, and telecommunications. The company was incorporated in 2005 and is headquartered in Santa Clara, California.",Santa Clara,408 753 4000,CA,United States,[],https://www.paloaltonetworks.com,1.0,3000 Tannery Way,Software—Infrastructure,-0.013710001,-0.095010005,0.69626,1675100032.0,0.295,-0.06073,-66600000.0,510.0,buy,2981200000.0,1778962560.0,625.0,577.02,,0.657,-0.01854,36.0,621.69,3358.489,-0.79906,700.0,3340300032.0,3956300032.0,4857500160.0,33.917,USD,49.821,0.58,1.7,NMS,"Palo Alto Networks, Inc.","Palo Alto Networks, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,PANW,,,finmb_25460099,,us_market,,11.565,,-843.498,0.78400946,,9.05,,98484400.0,,,,1.196,7363032.0,0.0748,,1627689600.0,0.87631,-461500000.0,-4.733,,0.13260198,482.45822,0.0195,1690761600.0,,1643587200.0,3.92,1643587200.0,96525538.0,1.306102,56176955392.0,2.0,,,,,,,,11.698913,1646006400.0,3.09,,63.759117,,0.0761,6226642.0,0.0,,,564.16,567.58,474.7366,0.0,0.0,,577.52,,1662990.0,564.16,524.3484,0.0,567.58,,1662990.0,,,,,,,559.63,USD,,2167555.0,,,,56827469824.0,,,1686817.0,559.63,578.38,900.0,2167555.0,598.96,,,311.72,576.34,False,,800.0,577.52,577.02,,https://logo.clearbit.com/paloaltonetworks.com,408 753 4001,2.5363,
01923,Healthcare,1725.0,"Abiomed, Inc. engages in the research, development, and sale of medical devices to assist or replace the pumping function of the failing heart. It also provides a continuum of care to heart failure patients. The company offers Impella 2.5, a percutaneous micro heart pump with integrated motor and sensors; and Impella CP, a device for use by interventional cardiologists to support patients in the cath lab, as well as by cardiac surgeons in the heart surgery suite. It also provides Impella 5.0, Impella LD, and Impella 5.5, which are percutaneous micro heart pumps with integrated motors and sensors for use primarily in the heart surgery suite; Impella RP, a percutaneous catheter-based axial flow pump; Impella SmartAssist platform that includes optical sensor technology for improved pump positioning and the use of algorithms that enable improved native heart assessment during the weaning process; Impella Connect, a cloud-based technology that enables secure and remote viewing of the Automated Impella Controller for physicians and hospital staffs; and OXY-1 System, a portable external respiratory assistance device. In addition, the company is developing Impella ECP, a pump for blood flow of greater than three liters per minute; Impella XR Sheath, a sheath that expands and recoils allowing small bore access and closure with Impella heart pumps; and Impella BTR, a percutaneous micro heart pump with integrated motors and sensors. Abiomed, Inc. sells its products through direct sales and clinical support personnel in the United States, Japan, Europe, Canada, Latin America, the Asia-Pacific, and the Middle East. The company was founded in 1981 and is headquartered in Danvers, Massachusetts.",Danvers,978 646 1400,MA,United States,[],https://www.abiomed.com,1.0,22 Cherry Hill Drive,Medical Devices,0.27996,0.13262,0.81779,292892992.0,0.127,0.25316998,280839008.0,275.0,buy,685615000.0,191921504.0,390.0,304.33,-0.259,6.98,0.10507,5.0,365.0,0.779,0.09875,425.0,669220992.0,11165000.0,1003148032.0,14.703,USD,22.108,5.979,2.5,NMS,"ABIOMED, Inc.","Abiomed, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,ABMD,,,finmb_247589,,us_market,,12.708,,45.392,-0.005977273,,4.62,,45516200.0,,,,31.482,1266077.0,0.0278,,1617148800.0,0.94131,133036000.0,2.909,,0.13260198,9.666793,0.02024,1680220800.0,,1640908800.0,2.91,1643587200.0,44624993.0,1.318405,12747830272.0,2.0,,970444800,2:1,,,,-0.26,13.8084755,1646006400.0,12.08,,65.87229,,0.0318,1151257.0,0.0,,,307.65,307.65,326.70056,0.0,0.0,,312.37,,282830.0,307.65,302.6952,0.0,307.65,,282830.0,,,,,,,303.59,USD,104.61671,428022.0,,,,13851944960.0,,,383141.0,303.59,304.65,800.0,428022.0,379.3,,,261.27,250.0,False,,900.0,312.37,304.33,,https://logo.clearbit.com/abiomed.com,978 777 8411,,
95110-2704,Technology,25988.0,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],https://www.adobe.com,1.0,345 Park Avenue,Software—Infrastructure,0.40405,0.30548,0.88185,7230000128.0,0.2,0.36756,6377999872.0,460.0,buy,13920000000.0,5783625216.0,640.0,453.33,-0.447,1.251,0.14076,27.0,633.19,31.581,0.34368,750.0,5798000128.0,4672999936.0,15784999936.0,12.292,USD,33.071,1.107,1.8,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,False,-14400000,,EQUITY,ADBE,,,finmb_24321,,us_market,,13.207,,32.687,0.0020335913,,16.26,,472351008.0,,,,31.152,7543434.0,0.016,,1638489600.0,0.85078,4822000128.0,10.02,0.0063,0.13260198,14.552195,0.00329,1701561600.0,,1638489600.0,2.01,1643587200.0,470199994.0,1.054625,208479617024.0,2.0,,1116892800,2:1,,1111622400,,-0.452,13.565465,1646006400.0,2.1,,27.880072,,0.016,5512470.0,0.0,,,444.36,439.2,582.9863,0.0,0.0,,453.73,,3798830.0,444.36,483.1346,0.0,439.2,,3798830.0,,,,1111622400,,,435.79,USD,45.24251,5838834.0,,,,214130868224.0,,,3682629.0,435.79,452.99,900.0,5838834.0,699.54,,,407.94,452.18,False,,800.0,453.73,453.33,,https://logo.clearbit.com/adobe.com,408 537 6000,1.6213,
95054,Technology,15500.0,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California.",Santa Clara,408 749 4000,CA,United States,[],https://www.amd.com,1.0,2485 Augustine Drive,Semiconductors,0.24674,0.19240999,0.48248002,3520999936.0,0.488,0.22198,4055000064.0,101.5,buy,7929000000.0,3122749952.0,150.0,113.46,-0.454,2.024,0.21327,39.0,151.54,9.764,0.47428,200.0,3608000000.0,732000000.0,16433999872.0,3.008,USD,13.548,1.49,2.2,NMS,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,AMD,,,finmb_168864,,us_market,,8.105,,32.848,0.41295147,,4.65,,1627360000.0,,,,6.211,46205560.0,0.028399998,,1640390400.0,0.52832,3161999872.0,2.57,0.005,0.13260198,18.26759,0.0032,1703462400.0,,1640390400.0,0.39,1643587200.0,1193894564.0,1.848425,133196963840.0,2.0,,966902400,2:1,,798940800,,-0.453,11.23526,1646006400.0,0.93,,24.4,,0.028499998,68305579.0,0.0,,,111.69,111.28,115.39935,0.0,0.0,,114.93,,104514270.0,111.69,118.2768,0.0,111.28,,104514270.0,,,,798940800,,,110.55,USD,44.14786,96400643.0,,,,184640258048.0,,,95086364.0,110.55,113.5,1300.0,96400643.0,164.46,,,72.5,113.7,False,,1100.0,114.93,113.46,,https://logo.clearbit.com/amd.com,,,
02142,Technology,8411.0,"Akamai Technologies, Inc. provides cloud services for securing, delivering, and optimizing content and business applications over the internet in the United States and internationally. The company offers cloud and enterprise security solutions to keep infrastructure, websites, applications, application programming interfaces, and users safe from various cyberattacks and online threats while enhancing performance. It also provides web and mobile performance solutions to enable dynamic websites and applications; media delivery solutions, including video streaming and video player services, game and software delivery, broadcast operations, authoritative domain name system, resolution, and data and analytics; and edge compute solutions to enable developers to deploy and distribute code at the edge. In addition, the company offers carrier offerings, including cyberthreat protection, parental controls, DNS infrastructure and content delivery solutions; and an array of service and support to assist customers with integrating, configuring, optimizing, and managing its offerings. It sells its solutions through direct sales and service organizations, as well as through various channel partners. Akamai Technologies, Inc. has a strategic partnership with Queue-It to deliver a cure for Covid vaccine registration. The company was founded in 1998 and is headquartered in Cambridge, Massachusetts.",Cambridge,617-444-3000,MA,United States,[],https://www.akamai.com,1.0,145 Broadway,Software—Infrastructure,0.33330002,0.17767,0.63335,1308755968.0,0.085,0.22331,1133944064.0,120.0,buy,2065477000.0,606096512.0,130.0,117.62,0.137,3.776,0.060760003,12.0,134.67,62.094,0.13912,183.0,1917284992.0,2845411072.0,3402151936.0,11.8,USD,20.882,3.524,2.3,NMS,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,AKAM,,,finmb_24522,349ac0eb-b982-3d38-abe9-be5d74e7cfe5,us_market,,5.804,,17.414,,,5.94,,162480000.0,,,,28.213,12815723.0,0.0789,,1609372800.0,0.93657,604478016.0,3.641,,,4.169,0.01564,1672444800.0,,1632960000.0,10.95,1639526400.0,159889986.0,0.540527,19746549760.0,2.0,,,,,,,0.128,5.617297,1642118400.0,1.71,,19.801348,,0.090100005,11831762.0,,,,115.23,115.8,112.304,,0.0,,118.24,,1943780.0,115.23,110.7786,,115.8,,1943780.0,,,,,,,115.11,USD,32.304314,4019490.0,,,,19110897664.0,,,1586703.0,115.11,117.62,1400.0,4019490.0,120.68,,,96.86,117.31,False,,1100.0,118.24,117.62,,https://logo.clearbit.com/akamai.com,617-444-3001,,
85281,Healthcare,,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Tempe,408 470 1000,AZ,United States,[],https://www.aligntech.com,1.0,410 North Scottsdale Road,Medical Devices,0.27372,0.19532,0.74264,1172544000.0,0.236,0.24702999,1081921280.0,550.0,buy,2935355000.0,796417024.0,750.0,442.87,0.205,1.296,0.11331,11.0,752.91,2.834,0.22518998,850.0,1171341952.0,102656000.0,3952583936.0,14.872,USD,50.085,1.075,2.0,NMS,"Align Technology, Inc.","Align Technology, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,ALGN,,,finmb_24568,9e9b4176-3211-32f0-9c92-47cd8723fc54,us_market,,9.805,,35.819,,,13.42,,78853104.0,,,,44.6,1544645.0,0.0196,,1640908800.0,0.87492996,772019968.0,9.278,,,9.929821,0.06697,1703980800.0,,1640908800.0,2.18,1639526400.0,73790095.0,,38753439744.0,2.0,,,,,,,0.201,8.83515,1642118400.0,1.3,,33.000744,,0.0197,1097358.0,,,,425.48,426.01,611.5492,,0.0,,444.23,,1090290.0,425.48,487.367,,426.01,,1090290.0,,,,,,,421.12,USD,47.73335,1066624.0,,,,34921672704.0,,,878517.0,421.12,445.78,800.0,1066624.0,737.45,,,372.62,432.1,False,,1100.0,444.23,442.87,,https://logo.clearbit.com/aligntech.com,408 470 1010,,Suite 1300
53718,Utilities,3313.0,"Alliant Energy Corporation operates as a utility holding company that provides regulated electricity and natural gas services. It operates through three segments: Utility Electric Operations, Utility Gas Operations, and Utility Other. The company, through its subsidiary, Interstate Power and Light Company (IPL), primarily generates and distributes electricity, and distributes and transports natural gas to retail customers in Iowa; sells electricity to wholesale customers in Minnesota, Illinois, and Iowa; and generates and distributes steam in Cedar Rapids, Iowa. Alliant Energy Corporation, through its other subsidiary, Wisconsin Power and Light Company (WPL), generates and distributes electricity, and distributes and transports natural gas to retail customers in Wisconsin; and sells electricity to wholesale customers in Wisconsin. As of December 31, 2021, IPL supplied electric and natural gas service to approximately 500,000 and 225,000 retail customers respectively; and WPL supplied electric and natural gas service to approximately 485,000 and 200,000 retail customers, respectively. It serves retail customers in the farming, agriculture, industrial manufacturing, chemical, and packaging and food industries. In addition, the company owns and operates a short-line rail freight service in Iowa; a barge, rail, and truck freight terminal on the Mississippi River; and a rail-served warehouse in Iowa, as well as offers freight brokerage services. Further, it holds interests in a 347 megawatt (MW) natural gas-fired electric generating unit near Sheboygan Falls, Wisconsin; and a 225 MW wind farm located in Oklahoma. The company was incorporated in 1981 and is headquartered in Madison, Wisconsin.",Madison,608 458 3311,WI,United States,[],https://www.alliantenergy.com,1.0,4902 North Biltmore Lane,Utilities—Regulated Electric,0.39330003,0.17961,0.42409,582000000.0,0.135,0.21423,1443000064.0,57.0,buy,1556000000.0,-381249984.0,61.0,60.31,0.381,0.52,0.027090002,9.0,60.22,132.037,0.11096,64.0,39000000.0,7909000192.0,3668999936.0,0.156,USD,14.664,0.233,2.5,NMS,Alliant Energy Corporation,Alliant Energy Corporation,America/New_York,EDT,True,-14400000,,EQUITY,LNT,,,finmb_312949,56489bcf-a2c2-383d-9b45-66695ab9698e,us_market,,5.963,,15.162,,,2.74,,250360992.0,,,,23.905,3205104.0,0.0128,,1640908800.0,0.77542996,659000000.0,2.534,,,2.5229032,0.00179,1703980800.0,,1640908800.0,3.01,1640908800.0,250107973.0,0.413724,21879273472.0,2.0,,1463702400,2:1,,,,0.375,4.1153646,1643587200.0,3.7,,22.01095,,0.0146,2766028.0,,,,60.98,61.19,58.3819,0.026024926,0.6122,,61.22,,1278290.0,60.98,59.056,1.587,61.19,,1278290.0,,,1.71,1643328000,,,60.03,USD,23.800318,1026339.0,,,,15099272192.0,,,1069348.0,60.03,60.68,1000.0,1026339.0,62.35,,2.92,51.17,56.27,False,0.0306,1400.0,61.22,60.31,,https://logo.clearbit.com/alliantenergy.com,,,
94043,Communication Services,150028.0,"Larry Page and Sergey Brin founded Google in September 1998. Since then, the company has grown to more than 130,000 employees worldwide, with a wide range of popular products and platforms like Search, Maps, Ads, Gmail, Android, Chrome, Google Cloud and YouTube. In October 2015, Alphabet became the parent holding company of Google.",Mountain View,650 253 0000,CA,United States,[],https://www.abc.xyz,1.0,1600 Amphitheatre Parkway,Internet Content & Information,0.35616,0.29521,0.56511,89395003392.0,0.41,0.303,85196996608.0,3140.0,buy,97795000000.0,52658749440.0,3360.0,2736.03,0.707,2.98,0.14011,9.0,3366.67,11.493,0.30872,3925.0,142002995200.0,28109000704.0,239210004480.0,213.936,USD,356.562,2.862,1.6,NMS,Alphabet Inc.,Alphabet Inc.,America/New_York,EDT,False,-14400000,,EQUITY,GOOG,,,finmb_29096,ee8cce8c-2475-31c0-8436-ecdf889cbfbd,us_market,,7.538,,21.166,,,112.3,,317737984.0,,,,367.946,1667888.0,0.0025,,1609372800.0,0.66238,70617997312.0,103.805,,,7.435955,0.00035,1672444800.0,,1632960000.0,1.48,1636934400.0,578390669.0,1.068051,1803275468800.0,2.0,,1430092800,10000000:10000000,,,,0.684,7.591514,1639526400.0,1.27,,24.363579,,,2042544.0,,,,2692.01,2677.68,2762.5735,,0.0,,2738.27,,1599710.0,2692.01,2694.5193,,2677.68,,1599710.0,,,,,,,2658.64,USD,26.3574,2283371.0,,,,1815966121984.0,,,1542080.0,2658.64,2750.0,800.0,2283371.0,3042.0,,,2010.73,2737.0,False,,800.0,2738.27,2736.03,,https://logo.clearbit.com/abc.xyz,,,
98109-5210,Consumer Cyclical,1468000.0,"Amazon.com, Inc. engages in the retail sale of consumer products and subscriptions in North America and internationally. The company operates through three segments: North America, International, and Amazon Web Services (AWS). It sells merchandise and content purchased for resale from third-party sellers through physical and online stores. The company also manufactures and sells electronic devices, including Kindle, Fire tablets, Fire TVs, Rings, and Echo and other devices; provides Kindle Direct Publishing, an online service that allows independent authors and publishers to make their books available in the Kindle Store; and develops and produces media content. In addition, it offers programs that enable sellers to sell their products on its websites, as well as its stores; and programs that allow authors, musicians, filmmakers, skill and app developers, and others to publish and sell content. Further, the company provides compute, storage, database, analytics, machine learning, and other services, as well as fulfillment, advertising, publishing, and digital content subscriptions. Additionally, it offers Amazon Prime, a membership program, which provides free shipping of various items; access to streaming of movies and TV episodes; and other services. The company serves consumers, sellers, developers, enterprises, and content creators. Amazon.com, Inc. was founded in 1994 and is headquartered in Seattle, Washington.",Seattle,206-266-1000,WA,United States,[],https://www.amazon.com,1.0,410 Terry Avenue North,Internet Retail,0.1319,0.057350002,0.41307,54671998976.0,0.153,0.06178,60403998720.0,3771.0,buy,152757000000.0,9271374848.0,4050.0,3225.01,-0.505,1.117,0.05321,51.0,4104.88,113.001,0.25832,5000.0,78988001280.0,136237998080.0,457965010944.0,155.75,USD,909.112,0.866,1.7,NMS,"Amazon.com, Inc.","Amazon.com, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,AMZN,,,finmb_18749,261fd26b-0151-3813-b0d0-97e4ed4c6505,us_market,,3.835,,29.078,,,51.53,,507148000.0,,,,237.799,3599503.0,0.0070999996,,1609372800.0,0.59177,26262999040.0,51.099,,,13.561916,0.13356,1672444800.0,,1632960000.0,1.06,1636934400.0,456295928.0,1.126233,1756417622016.0,2.0,,936230400,2:1,,,,-0.502,3.571359,1639526400.0,2.27,,62.5851,,0.0082,4226657.0,,,,3144.78,3136.26,3330.961,,0.0,,3231.88,,4377560.0,3144.78,3036.7446,,3136.26,,4377560.0,,,,,,,3120.22,USD,63.11298,5148138.0,,,,1635557441536.0,,,3828743.0,3120.22,3229.12,800.0,5148138.0,3773.08,,,2671.45,3226.0,False,,1000.0,3231.88,3225.01,,https://logo.clearbit.com/amazon.com,,,
