,ticker,society_n,society_p,jobs_n,jobs_p,taxes_n,taxes_p,societal_infrastructure_n,societal_infrasctucute_p,societal_stability_n,societal_stability_p,equality_human_rights_n,eqality_human_rights_p,environment_n,environment_p,ghg_emission_n,ghg_emission_p,non_ghg_emission_n,non_ghg_emission_p,scarcenatural_resources_n,scarce_natural_resources_p,bidodiversity_n,biodiversity_p,waste_n,waste_p,millennials,most_wanted_workforce,society_first,knowledge_first,health_first,net_impact_ratio,health_n,health_p,physical_diseases_n,physical_diseases_p,mental_diseases_n,mental_diseases_p,nutrition_n,nutrition_p,relationships_n,relationships_p,meaning_joy_n,meaning_joy_p,knowledge_n,knowledge_p,knowledge_infrastructure_n,knowledge_infrastructure_p,creating_knowledge_n,creating_knowledge_p,distributing_knowledge_n,distributing_knowledge_p,scarce_human_capital_n,scarce_human_capital_p
0,WDAY,-0.01,3.79,0.0,1.11,0.0,2.28,0.0,0.03,-0.0,0.36,-0.01,0.02,-0.24,0.01,-0.12,0.01,-0.03,0.0,-0.02,0.0,-0.02,0.0,-0.06,0.0,0.527,0.426,0.426,0.449,0.6920000000000001,0.471,-0.03,0.37,-0.01,0.02,-0.0,0.0,0.0,0.0,-0.02,0.04,-0.0,0.31,-2.65,1.37,0.0,0.11,0.0,0.07,-0.0,1.19,-2.65,0.0
1,PANW,-0.07,4.33,0.0,0.84,0.0,1.85,0.0,0.12,-0.06,1.52,-0.0,0.01,-0.67,0.02,-0.4,0.01,-0.06,0.01,-0.03,0.0,-0.01,0.0,-0.17,0.0,0.504,0.389,0.389,0.418,0.765,0.419,-0.1,0.61,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.02,0.05,-0.0,0.51,-3.89,3.16,0.0,2.49,0.0,0.56,-0.0,0.12,-3.89,0.0
2,ABMD,-0.0,2.71,0.0,0.91,0.0,1.7,0.0,0.1,-0.0,0.0,-0.0,0.01,-0.62,0.0,-0.18,0.0,-0.0,0.0,-0.0,0.0,-0.01,0.0,-0.43,0.0,0.6779999999999999,0.551,0.551,0.312,0.506,0.654,-0.37,3.58,-0.36,2.83,-0.0,0.37,0.0,0.0,-0.01,0.01,-0.0,0.37,-1.19,0.03,0.0,0.0,0.0,0.02,-0.0,0.0,-1.19,0.0
3,ADBE,-0.06,3.4,0.0,0.91,0.0,2.29,0.0,0.12,-0.06,0.07,-0.0,0.01,-0.54,0.02,-0.31,0.02,-0.04,0.01,-0.02,0.0,-0.01,0.0,-0.15,0.0,0.3929999999999999,0.253,0.253,0.253,0.649,0.3279999999999999,-0.2,1.43,-0.06,0.17,-0.02,0.03,0.0,0.0,-0.05,0.75,-0.07,0.49,-3.69,1.83,0.0,1.3,0.0,0.23,-0.02,0.29,-3.67,0.0
4,AMD,-0.05,1.97,0.0,0.68,0.0,1.07,0.0,0.08,-0.05,0.12,-0.0,0.01,-1.19,0.07,-0.67,0.04,-0.16,0.02,-0.03,0.0,-0.03,0.0,-0.3,0.01,0.4429999999999999,0.1989999999999999,0.1989999999999999,0.18,0.708,0.27,-0.19,0.47,-0.12,0.16,-0.03,0.02,0.0,0.02,-0.03,0.16,-0.01,0.1,-1.16,1.05,0.0,0.64,0.0,0.21,-0.0,0.2,-1.16,0.0
5,AKAM,-0.13,4.01,0.0,1.19,0.0,2.12,0.0,0.2,-0.13,0.48,-0.0,0.01,-0.75,0.05,-0.47,0.03,-0.08,0.01,-0.04,0.0,-0.03,0.0,-0.13,0.0,0.3979999999999999,0.228,0.228,0.255,0.67,0.293,-0.35,0.68,-0.16,0.1,-0.04,0.02,0.0,0.0,-0.1,0.15,-0.05,0.41,-3.57,2.06,0.0,1.32,0.0,0.32,-0.0,0.42,-3.57,0.0
6,ALGN,-0.0,3.52,0.0,1.58,0.0,1.88,0.0,0.06,-0.0,0.0,-0.0,0.01,-1.38,0.0,-0.53,0.0,-0.01,0.0,-0.0,0.0,-0.0,0.0,-0.84,0.0,0.562,0.317,0.317,0.0579999999999999,0.3279999999999999,0.469,-0.81,2.91,-0.8,2.34,-0.0,0.51,0.0,0.0,-0.0,0.01,-0.0,0.05,-1.25,0.03,0.0,0.0,0.0,0.03,-0.0,0.0,-1.25,0.0
7,LNT,-0.14,4.49,0.0,0.84,0.0,1.09,0.0,2.55,-0.12,0.01,-0.02,0.01,-3.83,0.74,-1.98,0.56,-0.82,0.17,-0.27,0.0,-0.25,0.0,-0.51,0.01,0.318,-0.126,-0.126,0.243,0.023,0.021,-0.35,0.13,-0.24,0.07,-0.07,0.0,0.0,0.01,-0.01,0.01,-0.02,0.04,-1.04,0.11,0.0,0.05,0.0,0.04,-0.0,0.02,-1.04,0.0
8,GOOG,-0.06,2.77,0.0,0.85,0.0,1.71,0.0,0.16,-0.04,0.04,-0.01,0.02,-0.59,0.03,-0.35,0.02,-0.06,0.01,-0.02,0.0,-0.01,0.0,-0.15,0.0,0.564,0.43,0.43,0.37,0.823,0.462,-0.36,0.46,-0.17,0.07,-0.05,0.03,0.0,0.01,-0.04,0.2,-0.11,0.15,-2.27,2.83,0.0,0.38,0.0,1.33,-0.1,1.11,-2.17,0.0
9,AMZN,-0.06,2.8,0.0,1.04,0.0,1.27,0.0,0.41,-0.05,0.08,-0.01,0.01,-1.34,0.3,-0.74,0.15,-0.11,0.07,-0.05,0.0,-0.04,0.0,-0.39,0.08,0.418,0.18,0.18,0.257,0.6,0.2769999999999999,-0.3,0.87,-0.2,0.12,-0.03,0.02,0.0,0.02,-0.05,0.19,-0.02,0.52,-1.87,0.97,0.0,0.32,0.0,0.34,-0.0,0.31,-1.87,0.0
10,AMGN,-0.22,2.31,0.0,0.59,0.0,1.39,0.0,0.25,-0.02,0.06,-0.21,0.02,-2.24,0.04,-0.93,0.02,-0.23,0.01,-0.13,0.0,-0.09,0.0,-0.85,0.01,0.5479999999999999,0.347,0.347,-0.654,0.495,0.511,-0.93,7.65,-0.9,6.92,-0.03,0.46,0.0,0.0,-0.0,0.0,-0.0,0.27,-1.65,0.3,0.0,0.0,0.0,0.3,-0.0,0.0,-1.65,0.0
11,ADI,-0.05,2.33,0.0,0.78,0.0,1.3,0.0,0.18,-0.05,0.05,-0.0,0.02,-1.06,0.06,-0.64,0.04,-0.1,0.01,-0.02,0.0,-0.02,0.0,-0.28,0.0,0.552,0.366,0.366,0.3339999999999999,0.79,0.411,-0.22,0.44,-0.12,0.12,-0.05,0.02,0.0,0.01,-0.04,0.18,-0.01,0.11,-1.28,1.6,0.0,1.1,0.0,0.21,-0.0,0.28,-1.28,0.0
12,ANSS,-0.08,3.95,0.0,1.44,0.0,2.34,0.0,0.14,-0.07,0.01,-0.0,0.02,-0.84,0.03,-0.52,0.02,-0.06,0.01,-0.02,0.0,-0.02,0.0,-0.22,0.0,0.6,0.496,0.496,0.3989999999999999,0.846,0.506,-0.17,0.42,-0.05,0.17,-0.03,0.0,0.0,0.0,-0.05,0.18,-0.04,0.06,-3.39,4.68,0.0,1.42,0.0,2.68,-0.0,0.57,-3.39,0.0
13,AAPL,-0.34,2.76,0.0,0.75,0.0,1.58,0.0,0.11,-0.2,0.24,-0.14,0.09,-2.09,0.09,-0.91,0.07,-0.14,0.01,-0.42,0.0,-0.02,0.0,-0.6,0.02,0.492,0.249,0.249,0.245,0.779,0.344,-0.92,2.21,-0.35,0.3,-0.24,0.13,0.0,0.0,-0.26,1.23,-0.08,0.55,-1.65,2.57,0.0,1.39,0.0,0.07,-0.03,1.11,-1.62,0.0
