TICKER,Name,Sector
WDAY,Workday Inc.,Information Technology
PANW,Palo Alto Networks Inc.,Information Technology
ABMD,Abiomed,Health Care
ADBE,Adobe,Information Technology
AMD,Advanced Micro Devices,Information Technology
AKAM,Akamai Technologies,Information Technology
ALGN,Align Technology,Health Care
LNT,Alliant Energy,Utilities
GOOG,Alphabet (Class C),Communication Services
AMZN,Amazon,Consumer Discretionary
AMGN,Amgen,Health Care
ADI,Analog Devices,Information Technology
ANSS,Ansys,Information Technology
AAPL,Apple,Information Technology
AMAT,Applied Materials,Information Technology
ADSK,Autodesk,Information Technology
ADP,Automatic Data Processing,Information Technology
BIIB,Biogen,Health Care
AVGO,Broadcom,Information Technology
CDNS,Cadence Design Systems,Information Technology
CBOE,Cboe Global Markets,Financials
CDW,CDW,Information Technology
CERN,Cerner,Health Care
CHTR,Charter Communications,Communication Services
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
CTXS,Citrix Systems,Information Technology
CME,CME Group,Financials
CTSH,Cognizant Technology Solutions,Information Technology
CMCSA,Comcast,Communication Services
CPRT,Copart,Industrials
XRAY,Dentsply Sirona,Health Care
DXCM,DexCom,Health Care
DISCA,Discovery (Series A),Communication Services
DISH,Dish Network,Communication Services
DLTR,Dollar Tree,Consumer Discretionary
EBAY,eBay,Consumer Discretionary
EA,Electronic Arts,Communication Services
ENPH,Enphase Energy,Information Technology
EQIX,Equinix,Real Estate
EXC,Exelon,Utilities
EXPD,Expeditors,Industrials
FFIV,F5 Networks,Information Technology
FB,Facebook,Communication Services
FAST,Fastenal,Industrials
FITB,Fifth Third Bancorp,Financials
FISV,Fiserv,Information Technology
FTNT,Fortinet,Information Technology
FOX,Fox Corporation (Class B),Communication Services
GILD,Gilead Sciences,Health Care
HAS,Hasbro,Consumer Discretionary
HSIC,Henry Schein,Health Care
HOLX,Hologic,Health Care
HST,Host Hotels & Resorts,Real Estate
HBAN,Huntington Bancshares,Financials
IDXX,Idexx Laboratories,Health Care
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
INTC,Intel,Information Technology
INTU,Intuit,Information Technology
ISRG,Intuitive Surgical,Health Care
IPGP,IPG Photonics,Information Technology
JKHY,Jack Henry & Associates,Information Technology
KLAC,KLA Corporation,Information Technology
LRCX,Lam Research,Information Technology
LKQ,LKQ Corporation,Consumer Discretionary
MKTX,MarketAxess,Financials
MTCH,Match Group,Communication Services
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft,Information Technology
MRNA,Moderna,Health Care
MPWR,Monolithic Power Systems,Information Technology
NDAQ,Nasdaq,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix,Communication Services
NWL,Newell Brands,Consumer Discretionary
NLOK,NortonLifeLock,Information Technology
NVDA,Nvidia,Information Technology
NXPI,NXP,Information Technology
PAYX,Paychex,Information Technology
PYPL,PayPal,Information Technology
PBCT,People's United Financial,Financials
PFG,Principal Financial Group,Financials
PTC,PTC,Information Technology
QRVO,Qorvo,Information Technology
QCOM,Qualcomm,Information Technology
REGN,Regeneron Pharmaceuticals,Health Care
ROST,Ross Stores,Consumer Discretionary
SBAC,SBA Communications,Real Estate
STX,Seagate Technology,Information Technology
SWKS,Skyworks Solutions,Information Technology
SIVB,SVB Financial,Financials
SNPS,Synopsys,Information Technology
TMUS,T-Mobile US,Communication Services
TROW,T. Rowe Price,Financials
TTWO,Take-Two Interactive,Communication Services
TER,Teradyne,Information Technology
TSLA,Tesla,Consumer Discretionary
TXN,Texas Instruments,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
TRMB,Trimble,Information Technology
ULTA,Ulta Beauty,Consumer Discretionary
VRSN,Verisign,Information Technology
VRSK,Verisk Analytics,Industrials
VRTX,Vertex Pharmaceuticals,Health Care
WBA,Walgreens Boots Alliance,Consumer Staples
WDC,Western Digital,Information Technology
WLTW,Willis Towers Watson,Financials
XLNX,Xilinx,Information Technology
ZBRA,Zebra Technologies,Information Technology
ZION,Zions Bancorp,Financials
