Ticker,animalTesting,catholicValues,controversialWeapons,militaryContracting,None,Nuclear,smallArms,thermalCoal
INTC,0,0,0,0,1,0,0,0
MSFT,0,0,0,0,1,0,0,0
BAC,0,0,0,0,1,0,0,0
AAPL,0,0,0,0,1,0,0,0
NVDA,0,0,0,0,1,0,0,0
VZ,0,0,0,0,1,0,0,0
CSCO,0,0,0,0,1,0,0,0
EXC,0,0,0,0,0,1,0,0
PEP,1,0,0,0,0,0,0,0
MA,0,0,0,0,1,0,0,0
HIG,0,0,0,0,1,0,0,0
C,0,0,0,0,1,0,0,0
ANTM,0,0,0,0,1,0,0,0
ACN,0,0,0,0,1,0,0,0
T,0,0,0,0,1,0,0,0
IBM,0,0,0,0,1,0,0,0
F,0,0,0,0,1,0,0,0
OC,0,0,0,0,1,0,0,0
INTU,0,0,0,0,1,0,0,0
WFC,0,0,0,0,1,0,0,0
MRK,1,1,0,0,0,0,0,0
JPM,0,0,0,0,1,0,0,0
AEP,0,0,0,0,0,1,0,1
UNH,0,1,0,0,0,0,0,0
CI,0,0,0,0,1,0,0,0
AMAT,0,0,0,0,1,0,0,0
CL,1,0,0,0,0,0,0,0
EQIX,0,0,0,0,1,0,0,0
UPS,0,0,0,0,1,0,0,0
NEM,0,0,0,0,1,0,0,0
LMT,0,0,1,1,0,0,0,0
BLK,0,0,0,0,1,0,0,0
EIX,0,0,0,0,0,1,0,0
JNJ,1,1,0,0,0,0,0,0
SYF,0,0,0,0,1,0,0,0
FDX,0,0,0,0,1,0,0,0
GS,0,0,0,0,1,0,0,0
NOC,0,0,1,1,0,0,1,0
PG,1,0,0,0,0,0,0,0
ADM,1,0,0,0,0,0,0,0
ETR,0,0,0,0,0,1,0,1
QCOM,0,0,0,0,1,0,0,0
GIS,1,0,0,0,0,0,0,0
DE,0,0,0,0,1,0,0,0
RF,0,0,0,0,1,0,0,0
LOW,0,0,0,0,1,0,0,0
AMGN,1,1,0,0,0,0,0,0
ABT,1,1,0,0,0,0,0,0
HPE,0,0,0,0,1,0,0,0
BDX,1,1,0,0,0,0,0,0
CLX,1,0,0,0,0,0,0,0
AES,0,0,0,0,0,0,0,1
SPGI,0,0,0,0,1,0,0,0
ES,0,0,0,0,1,0,0,0
HSY,0,0,0,0,1,0,0,0
AXP,0,0,0,0,1,0,0,0
NLSN,0,0,0,0,1,0,0,0
EBAY,0,0,0,0,1,0,0,0
ECL,1,0,0,0,0,0,0,0
NDAQ,0,0,0,0,1,0,0,0
DLR,0,0,0,0,1,0,0,0
COF,0,0,0,0,1,0,0,0
BBY,0,0,0,0,1,0,0,0
KMB,1,0,0,0,0,0,0,0
EMN,1,0,0,0,0,0,0,0
