Index,Symbol,Name,Sector
1,MMM,3M,Industrials
2,AOS,A. O. Smith,Industrials
3,ABT,Abbott Laboratories,Health Care
4,ABBV,AbbVie,Health Care
5,ABMD,Abiomed,Health Care
6,ACN,Accenture,Information Technology
7,ATVI,Activision Blizzard,Communication Services
8,ADM,ADM,Consumer Staples
9,ADBE,Adobe,Information Technology
10,AAP,Advance Auto Parts,Consumer Discretionary
11,AMD,Advanced Micro Devices,Information Technology
12,AES,AES Corp,Utilities
13,AFL,Aflac,Financials
14,A,Agilent Technologies,Health Care
15,APD,Air Products & Chemicals,Materials
16,AKAM,Akamai Technologies,Information Technology
17,ALK,Alaska Air Group,Industrials
18,ALB,Albemarle Corporation,Materials
19,ARE,Alexandria Real Estate Equities,Real Estate
20,ALGN,Align Technology,Health Care
21,ALLE,Allegion,Industrials
22,LNT,Alliant Energy,Utilities
23,ALL,Allstate Corp,Financials
24,GOOGL,Alphabet (Class A),Communication Services
25,GOOG,Alphabet (Class C),Communication Services
26,MO,Altria Group,Consumer Staples
27,AMZN,Amazon,Consumer Discretionary
28,AMCR,Amcor,Materials
29,AEE,Ameren Corp,Utilities
30,AAL,American Airlines Group,Industrials
31,AEP,American Electric Power,Utilities
32,AXP,American Express,Financials
33,AIG,American International Group,Financials
34,AMT,American Tower,Real Estate
35,AWK,American Water Works,Utilities
36,AMP,Ameriprise Financial,Financials
37,ABC,AmerisourceBergen,Health Care
38,AME,Ametek,Industrials
39,AMGN,Amgen,Health Care
40,APH,Amphenol,Information Technology
41,ADI,Analog Devices,Information Technology
42,ANSS,Ansys,Information Technology
43,ANTM,Anthem,Health Care
44,AON,Aon,Financials
45,APA,APA Corporation,Energy
46,AAPL,Apple,Information Technology
47,AMAT,Applied Materials,Information Technology
48,APTV,Aptiv,Consumer Discretionary
49,ANET,Arista Networks,Information Technology
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant,Financials
52,T,AT&T,Communication Services
53,ATO,Atmos Energy,Utilities
54,ADSK,Autodesk,Information Technology
55,ADP,Automatic Data Processing,Information Technology
56,AZO,AutoZone,Consumer Discretionary
57,AVB,AvalonBay Communities,Real Estate
58,AVY,Avery Dennison,Materials
59,BKR,Baker Hughes,Energy
60,BLL,Ball Corp,Materials
61,BAC,Bank of America,Financials
62,BBWI,Bath & Body Works Inc.,Consumer Discretionary
63,BAX,Baxter International,Health Care
64,BDX,Becton Dickinson,Health Care
65,BRK.B,Berkshire Hathaway,Financials
66,BBY,Best Buy,Consumer Discretionary
67,BIO,Bio-Rad Laboratories,Health Care
68,TECH,Bio-Techne,Health Care
69,BIIB,Biogen,Health Care
70,BLK,BlackRock,Financials
71,BK,BNY Mellon,Financials
72,BA,Boeing,Industrials
73,BKNG,Booking Holdings,Consumer Discretionary
74,BWA,BorgWarner,Consumer Discretionary
75,BXP,Boston Properties,Real Estate
76,BSX,Boston Scientific,Health Care
77,BMY,Bristol Myers Squibb,Health Care
78,AVGO,Broadcom,Information Technology
79,BR,Broadridge Financial Solutions,Information Technology
80,BRO,Brown & Brown,Financials
81,BF.B,Brownâ€“Forman,Consumer Staples
82,CHRW,C. H. Robinson,Industrials
83,CDNS,Cadence Design Systems,Information Technology
84,CZR,Caesars Entertainment,Consumer Discretionary
85,CPB,Campbell Soup,Consumer Staples
86,COF,Capital One Financial,Financials
87,CAH,Cardinal Health,Health Care
88,KMX,CarMax,Consumer Discretionary
89,CCL,Carnival Corporation,Consumer Discretionary
90,CARR,Carrier Global,Industrials
91,CTLT,Catalent,Health Care
92,CAT,Caterpillar,Industrials
93,CBOE,Cboe Global Markets,Financials
94,CBRE,CBRE,Real Estate
95,CDW,CDW,Information Technology
96,CE,Celanese,Materials
97,CNC,Centene Corporation,Health Care
98,CNP,CenterPoint Energy,Utilities
99,CDAY,Ceridian,Information Technology
100,CERN,Cerner,Health Care
101,CF,CF Industries,Materials
102,CRL,Charles River Laboratories,Health Care
103,SCHW,Charles Schwab Corporation,Financials
104,CHTR,Charter Communications,Communication Services
105,CVX,Chevron Corporation,Energy
106,CMG,Chipotle Mexican Grill,Consumer Discretionary
107,CB,Chubb,Financials
108,CHD,Church & Dwight,Consumer Staples
109,CI,Cigna,Health Care
110,CINF,Cincinnati Financial,Financials
111,CTAS,Cintas Corporation,Industrials
112,CSCO,Cisco Systems,Information Technology
113,C,Citigroup,Financials
114,CFG,Citizens Financial Group,Financials
115,CTXS,Citrix Systems,Information Technology
116,CLX,Clorox,Consumer Staples
117,CME,CME Group,Financials
118,CMS,CMS Energy,Utilities
119,KO,Coca-Cola Company,Consumer Staples
120,CTSH,Cognizant Technology Solutions,Information Technology
121,CL,Colgate-Palmolive,Consumer Staples
122,CMCSA,Comcast,Communication Services
123,CMA,Comerica,Financials
124,CAG,Conagra Brands,Consumer Staples
125,COP,ConocoPhillips,Energy
126,ED,Consolidated Edison,Utilities
127,STZ,Constellation Brands,Consumer Staples
128,CPRT,Copart,Industrials
129,GLW,Corning,Information Technology
130,CTVA,Corteva,Materials
131,COST,Costco,Consumer Staples
132,CTRA,Coterra,Energy
133,CCI,Crown Castle,Real Estate
134,CSX,CSX,Industrials
135,CMI,Cummins,Industrials
136,CVS,CVS Health,Health Care
137,DHI,D. R. Horton,Consumer Discretionary
138,DHR,Danaher Corporation,Health Care
139,DRI,Darden Restaurants,Consumer Discretionary
140,DVA,DaVita,Health Care
141,DE,Deere & Co.,Industrials
142,DAL,Delta Air Lines,Industrials
143,XRAY,Dentsply Sirona,Health Care
144,DVN,Devon Energy,Energy
145,DXCM,DexCom,Health Care
146,FANG,Diamondback Energy,Energy
147,DLR,Digital Realty Trust,Real Estate
148,DFS,Discover Financial Services,Financials
149,DISCA,Discovery (Series A),Communication Services
150,DISCK,Discovery (Series C),Communication Services
151,DISH,Dish Network,Communication Services
152,DG,Dollar General,Consumer Discretionary
153,DLTR,Dollar Tree,Consumer Discretionary
154,D,Dominion Energy,Utilities
155,DPZ,Domino's Pizza,Consumer Discretionary
156,DOV,Dover Corporation,Industrials
157,DOW,Dow,Materials
158,DTE,DTE Energy,Utilities
159,DUK,Duke Energy,Utilities
160,DRE,Duke Realty Corp,Real Estate
161,DD,DuPont,Materials
162,DXC,DXC Technology,Information Technology
163,EMN,Eastman Chemical,Materials
164,ETN,Eaton Corporation,Industrials
165,EBAY,eBay,Consumer Discretionary
166,ECL,Ecolab,Materials
167,EIX,Edison International,Utilities
168,EW,Edwards Lifesciences,Health Care
169,EA,Electronic Arts,Communication Services
170,LLY,Eli Lilly & Co,Health Care
171,EMR,Emerson Electric Company,Industrials
172,ENPH,Enphase Energy,Information Technology
173,ETR,Entergy,Utilities
174,EOG,EOG Resources,Energy
175,EFX,Equifax,Industrials
176,EQIX,Equinix,Real Estate
177,EQR,Equity Residential,Real Estate
178,ESS,Essex Property Trust,Real Estate
179,EL,EstÃ©e Lauder Companies,Consumer Staples
180,ETSY,Etsy,Consumer Discretionary
181,RE,Everest Re,Financials
182,EVRG,Evergy,Utilities
183,ES,Eversource Energy,Utilities
184,EXC,Exelon,Utilities
185,EXPE,Expedia Group,Consumer Discretionary
186,EXPD,Expeditors,Industrials
187,EXR,Extra Space Storage,Real Estate
188,XOM,ExxonMobil,Energy
189,FFIV,F5 Networks,Information Technology
190,FB,Facebook,Communication Services
191,FAST,Fastenal,Industrials
192,FRT,Federal Realty Investment Trust,Real Estate
193,FDX,FedEx,Industrials
194,FIS,Fidelity National Information Services,Information Technology
195,FITB,Fifth Third Bancorp,Financials
196,FRC,First Republic Bank,Financials
197,FE,FirstEnergy,Utilities
198,FISV,Fiserv,Information Technology
199,FLT,Fleetcor,Information Technology
200,FMC,FMC Corporation,Materials
201,F,Ford,Consumer Discretionary
202,FTNT,Fortinet,Information Technology
203,FTV,Fortive,Industrials
204,FBHS,Fortune Brands Home & Security,Industrials
205,FOXA,Fox Corporation (Class A),Communication Services
206,FOX,Fox Corporation (Class B),Communication Services
207,BEN,Franklin Resources,Financials
208,FCX,Freeport-McMoRan,Materials
209,GPS,Gap,Consumer Discretionary
210,GRMN,Garmin,Consumer Discretionary
211,IT,Gartner,Information Technology
212,GNRC,Generac Holdings,Industrials
213,GD,General Dynamics,Industrials
214,GE,General Electric,Industrials
215,GIS,General Mills,Consumer Staples
216,GM,General Motors,Consumer Discretionary
217,GPC,Genuine Parts,Consumer Discretionary
218,GILD,Gilead Sciences,Health Care
219,GPN,Global Payments,Information Technology
220,GL,Globe Life,Financials
221,GS,Goldman Sachs,Financials
222,HAL,Halliburton,Energy
223,HBI,Hanesbrands,Consumer Discretionary
224,HAS,Hasbro,Consumer Discretionary
225,HCA,HCA Healthcare,Health Care
226,PEAK,Healthpeak Properties,Real Estate
227,HSIC,Henry Schein,Health Care
228,HES,Hess Corporation,Energy
229,HPE,Hewlett Packard Enterprise,Information Technology
230,HLT,Hilton Worldwide,Consumer Discretionary
231,HOLX,Hologic,Health Care
232,HD,Home Depot,Consumer Discretionary
233,HON,Honeywell,Industrials
234,HRL,Hormel,Consumer Staples
235,HST,Host Hotels & Resorts,Real Estate
236,HWM,Howmet Aerospace,Industrials
237,HPQ,HP,Information Technology
238,HUM,Humana,Health Care
239,HBAN,Huntington Bancshares,Financials
