Ticker,longName,sector,industry,city,state,country,fullTimeEmployees,revenueGrowth,forwardEps,beta,priceToSalesTrailing12Months,forwardPE,dividendRate,trailingPE,bookValue,returnOnAssets,returnOnEquity,averageVolume,volume,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,regularMarketPrice,marketCap
INTC,Intel Corporation,Technology,Semiconductors,Santa Clara,CA,United States,121100,0.028,3.7,0.549019,2.490245,13.008108,1.46,9.903292,23.438,0.08586001,0.22522,39643831,25779171,48.13,43.63,68.49,48.13,196789125120
MSFT,Microsoft Corporation,Technology,Software & Services,Redmond,WA,United States,181000,0.201,10.75,0.908333,12.604592,28.91907,2.48,33.111088,21.335,0.15248999,0.49051,37902426,22978920,310.88,238.07,349.67,310.88,2330626883584
BAC,Bank of America Corporation,Financial Services,Banks,Charlotte,NC,United States,208000,0.125,3.85,1.389215,3.4546351,10.425974,0.84,11.243697,30.374,0.010679999,0.11778,55803465,51417395,40.14,36.51,50.11,40.14,323723493376
AAPL,Apple Inc.,Technology,Technology Hardware,Cupertino,CA,United States,100000,0.112,6.56,1.187745,7.5514154,26.685976,0.88,29.103907,4.402,0.19875,1.45567,94254429,73401786,175.06,122.25,182.94,175.06,2856874147840
NVDA,NVIDIA Corporation,Technology,Semiconductors,Santa Clara,CA,United States,22473,0.528,6.78,1.423039,24.009827,38.24631,0.16,67.35325,10.619,0.17198999,0.44832,53191991,43661473,259.31,134.59,346.47,259.31,646200492032
VZ,Verizon Communications Inc.,Communication Services,Telecommunication Services,New York,NY,United States,118500,0.043,5.4,0.368137,1.65909,9.374778,2.56,9.922918,18.609,0.06523,0.31167,24651485,23135165,52.78,49.69,59.85,52.78,221675995136
CSCO,"Cisco Systems, Inc.",Technology,Technology Hardware,San Jose,CA,United States,79500,0.081,3.68,0.982098,4.5606556,14.923912,1.48,20.416355,10.126,0.09196,0.28190002,22347591,16063610,54.92,50.1,64.29,54.92,231631126528
EXC,Exelon Corporation,Utilities,Utilities,Chicago,IL,United States,32340,0.006,3.32,0.481849,1.3426627,14.397591,1.35,27.953215,34.601,0.02479,0.05409,10861526,8562493,47.8,30.527817,48.18,47.8,46763601920
PEP,"PepsiCo, Inc.",Consumer Defensive,Food Products,Purchase,NY,United States,291000,0.116,6.74,0.650909,3.0562873,25.148369,4.3,28.875639,11.484,0.079840004,0.55412996,5755310,4480879,169.5,141.24,177.24,169.5,234359177216
MA,Mastercard Incorporated,Financial Services,Software & Services,Purchase,NY,United States,24000,0.266,10.53,1.071108,18.903973,34.503326,1.96,44.68881,6.814,0.18013,1.2473301,4820853,2215888,363.32,305.61,401.5,363.32,356982620160
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Insurance,Hartford,CT,United States,18100,0.092,7.02,1.021653,1.0884168,10.180912,1.54,11.8938265,51.284,0.025899999,0.12995,2189870,1494628,71.47,59.86,78.17,71.47,24325027840
C,Citigroup Inc.,Financial Services,Banks,New York,NY,United States,223000,0.047,7.85,1.691695,1.3648305,6.570701,2.04,4.8853955,92.165,0.00968,0.10931,28582280,23058235,51.58,51.423,80.29,51.58,102348644352
ANTM,"Anthem, Inc.",Healthcare,Healthcare,Indianapolis,IN,United States,83400,0.15,28.65,1.05147,0.8609072,15.332507,5.12,20.007278,147.158,0.05371,0.15835,1236191,986810,494.78,350.46,505.95,494.78,119358750720
ACN,Accenture plc,Technology,Software & Services,Dublin,Leinster,Ireland,624000,0.272,10.45,1.213823,4.035196,32.805744,3.88,35.662125,32.2,0.124560006,0.31948,2797813,2834597,342.82,276.88,417.37,342.82,216836734976
T,AT&T Inc.,Communication Services,Telecommunication Services,Dallas,TX,United States,214840,-0.057,3.21,0.679168,0.9827272,7.4423676,2.08,185.1938,22.937,0.03724,0.01368,51233258,32795200,23.89,22.02,33.88,23.89,170598498304
IBM,International Business Machines Corporation,Technology,Software & Services,Armonk,NY,United States,345900,0.003,10.3,1.103896,1.5515058,12.513592,6.56,24.397123,24.786,0.03739,0.21405001,5302135,2995969,128.89,114.56,146.11855,128.89,115526680576
F,Ford Motor Company,Consumer Cyclical,Automobiles,Dearborn,MI,United States,183000,0.048,1.99,1.079562,0.4636941,7.9497485,0.4,22.187939,9.157,0.025239998,0.45095003,96131026,89797409,15.82,11.14,25.87,15.82,63220514816
OC,Owens Corning,Industrials,Building Products,Toledo,OH,United States,19000,0.162,9.5,1.551168,1.0318944,8.963158,1.4,9.024907,41.437,0.09275,0.24493,981655,3422681,85.15,79.35,109.9,85.15,8556468224
INTU,Intuit Inc.,Technology,Software & Services,Mountain View,CA,United States,13500,0.517,13.64,1.054025,13.614907,36.367302,2.72,65.43332,35.623,0.12802,0.27934,1998723,1632743,496.05,385.66,716.86,496.05,140464996352
WFC,Wells Fargo & Company,Financial Services,Banks,San Francisco,CA,United States,253871,0.09,3.74,1.314285,2.45368,12.86631,0.8,11.479008,42.441,0.0103400005,0.1075,32882340,21398118,48.12,39.06,60.3,48.12,191865503744
MRK,"Merck & Co., Inc.",Healthcare,Pharmaceuticals,Kenilworth,NJ,United States,73000,0.204,7.2,0.494545,4.0198393,11.627778,2.76,29.541285,14.174,0.12133,0.26036,12178533,11957880,83.72,69.51336,91.4,83.72,211471695872
JPM,JPMorgan Chase & Co.,Financial Services,Banks,New York,NY,United States,271025,-0.022,11.97,1.11636,3.0848358,11.139515,4.0,8.434436,86.355,0.01356,0.16856001,17027103,11915360,133.34,127.27,172.96,133.34,403798851584
AEP,"American Electric Power Company, Inc.",Utilities,Utilities,Columbus,OH,United States,16787,0.137,4.97,0.346096,3.0774527,20.384306,3.12,21.274673,44.24,0.025880001,0.11048,3366838,2228500,101.31,80.22,102.695,101.31,50289270784
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare,Minnetonka,MN,United States,330000,0.111,21.65,0.842597,1.7458509,23.915012,5.8,32.13705,74.605,0.0679,0.21985,3344783,3268383,517.76,360.55,524.7299,517.76,487652786176
CI,Cigna Corporation,Healthcare,Healthcare,Bloomfield,CT,United States,72226,0.082,22.46,0.88165,0.4767084,10.912289,4.0,10.200607,143.075,0.03285,0.17627001,1730373,1316475,245.09,191.74,272.81,245.09,81229684736
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,Santa Clara,CA,United States,27000,0.306,8.85,1.37974,4.6889358,13.752542,0.96,19.017187,13.73,0.18829,0.51593,8716560,11419597,121.71,114.39,167.06,121.71,108140920832
CL,Colgate-Palmolive Company,Consumer Defensive,Household Products,New York,NY,United States,33800,0.018,3.39,0.613188,3.7471242,22.846605,1.8,24.665604,0.701,0.15467,2.25676,5244938,4111860,77.45,72.2,85.61,77.45,65278652416
EQIX,"Equinix, Inc.",Real Estate,Real Estate,Redwood City,CA,United States,10801,0.112,7.73,0.358441,10.492207,98.62872,11.48,160.74216,117.377,0.02675,0.04048,475608,296306,762.4,662.26,885.26,762.4,68647411712
UPS,"United Parcel Service, Inc.",Industrials,Transportation,Atlanta,GA,United States,540000,0.092,12.1,1.118441,1.8154844,16.298347,4.08,26.813053,13.856,0.07768,0.73033994,3219966,6144406,197.21,171.2,233.72,197.21,171403509760
NEM,Newmont Corporation,Basic Materials,Precious Metals,Denver,CO,United States,14300,-0.087,2.75,0.258181,5.214375,29.04,2.2,31.478125,28.461,0.057789996,0.07253,8546531,7524385,79.86,52.6,83.72,79.86,63683162112
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Bethesda,MD,United States,114000,0.041,26.28,0.794783,1.839725,17.018265,11.2,20.601593,35.15,0.09624,0.74307,2601670,2234322,447.24,324.23,479.99,447.24,123342520320
BLK,"BlackRock, Inc.",Financial Services,Diversified Financials,New York,NY,United States,18000,0.156,42.25,1.202077,6.1949167,18.093018,16.52,20.326801,242.236,0.02727,0.16974,880448,722331,764.43,660.15,973.16,764.43,116129906688
EIX,Edison International,Utilities,Utilities,Rosemead,CA,United States,13351,0.141,4.64,0.688291,1.8127576,15.148707,2.8,35.022423,35.816,0.02937,0.04705,2149281,1626073,70.29,54.14,71.94,70.29,26703732736
JNJ,Johnson & Johnson,Healthcare,Pharmaceuticals,New Brunswick,NJ,United States,141700,0.104,10.38,0.710591,4.9861484,17.11079,4.24,26.544613,26.694,0.08842,0.30412,8109316,7278932,177.61,155.72,180.21,177.61,467576094720
SYF,Synchrony Financial,Financial Services,Diversified Financials,Stamford,CT,United States,18000,0.116,5.72,1.661859,2.0390687,6.1660843,0.88,4.9893904,24.125,0.04404,0.32031,7158431,6755215,35.27,33.755,52.49,35.27,19301824512
FDX,FedEx Corporation,Industrials,Transportation,Memphis,TN,United States,384000,0.142,23.02,1.286753,0.6244015,9.167246,3.0,11.607172,94.124,0.05913,0.21384001,2579145,3080470,211.03,199.03,319.9,211.03,55916404736
GS,"The Goldman Sachs Group, Inc.",Financial Services,Diversified Financials,New York,NY,United States,43900,0.074,40.24,1.489308,1.8321848,8.050695,8.0,5.3432293,275.256,0.01647,0.20768999,3346515,2506681,323.96,318.55,426.16,323.96,108065923072
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Falls Church,VA,United States,88000,-0.154,25.08,0.748523,2.0027764,18.102472,6.28,16.014462,71.913,0.10762999,0.59604,1101956,576214,454.01,329.87,490.82,454.01,71433027584
PG,The Procter & Gamble Company,Consumer Defensive,Household Products,Cincinnati,OH,United States,101000,0.061,6.36,0.449527,4.7759,24.31132,3.48,28.256577,18.7,0.09514,0.31092,8290358,7633314,154.62,130.29,165.35,154.62,374172680192
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Food Products,Chicago,IL,United States,37575,0.345,4.78,0.89559,0.63457817,19.016735,1.48,19.63283,39.301,0.03548,0.12636,3883381,3128676,90.9,56.91,93.5,90.9,50853191680
ETR,Entergy Corporation,Utilities,Utilities,New Orleans,LA,United States,12369,0.149,6.34,0.621555,2.0762343,19.13407,4.04,19.632627,55.99,0.021459999,0.096820004,1288891,1549989,121.31,98.5,122.1,121.31,24381003776
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,San Diego,CA,United States,45000,0.3,11.64,1.258366,4.520901,12.496564,2.72,18.482847,8.844,0.17321,1.06739,11414468,15925936,145.46,122.17,193.58,145.46,162915205120
GIS,"General Mills, Inc.",Consumer Defensive,Food Products,Minneapolis,MN,United States,35000,0.065,3.92,0.506493,2.2419884,17.642859,2.04,19.062845,15.79,0.06524,0.22723,3832081,3124373,69.16,56.67,69.95,69.16,41717796864
DE,Deere & Company,Industrials,Machinery,Moline,IL,United States,75550,0.16,25.12,0.978617,2.8932877,16.469347,4.2,21.785677,59.828,0.06355,0.3802,2219808,1357896,413.71,320.5,437.98,413.71,127177351168
RF,Regions Financial Corporation,Financial Services,Banks,Birmingham,AL,United States,19626,-0.115,2.07,1.452103,2.920114,10.299517,0.68,7.9880104,17.752,0.01625,0.13838,10941161,6704879,21.32,18.02,25.57,21.32,20323993600
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Retailing,Mooresville,NC,United States,300000,0.027,12.9,1.294025,1.4495658,15.881395,3.2,17.86605,-2.297,0.16221,6.57829,4168025,4700304,204.87,182.08,263.31,204.87,138030546944
AMGN,Amgen Inc.,Healthcare,Pharmaceuticals,Thousand Oaks,CA,United States,24300,0.044,17.95,0.639128,5.3460755,13.624512,7.76,25.209772,14.543,0.08696,0.585,3220175,2181036,244.56,198.64,261.0,244.56,137752330240
ABT,Abbott Laboratories,Healthcare,Healthcare,North Chicago,IL,United States,109000,0.234,4.76,0.685714,4.9937434,25.10084,1.88,29.647642,19.466,0.0774,0.21862,6200018,5974979,119.48,105.36,142.6,119.48,211275300864
HPE,Hewlett Packard Enterprise Company,Technology,Technology Hardware,Houston,TX,United States,60400,0.02,2.18,1.236695,0.73554397,7.2477064,0.48,6.124031,15.422,0.02525,0.18979,11120918,7930994,15.8,12.99,17.76,15.8,20436353024
