Index,Name,Symbol,Market Value (millions)
1,Exxon Mobil Corporation,XOM,384845.8
2,General Electric Company,GE,346042.1
3,Microsoft Corporation,MSFT,299647.6
4,BP p.l.c.,BP,248469.7
5,"Citigroup, Inc.",C,231977.7
6,Procter & Gamble Company (The),PG,194814
7,"Wal-Mart Stores, Inc.",WMT,191978.5
8,"Pfizer, Inc.",PFE,189297.4
9,"HSBC Holdings, plc.",HBC,188804.6
10,Toyota Motor Corporation,TM,187196.4
11,JOHNSON & JOHNSON,JNJ,179515.8
12,Bank of America Corporation,BAC,176906.2
13,"American International Group, Inc.",AIG,169908.5
14,"TotalFinaElf, S.A.",TOT,169852.6
15,Novartis AG,NVS,151092.7
16,Altria Group,MO,150638.6
17,GLAXOSMITHKLINE PLC,GSK,149062.8
18,Mitsubishi UFJ Financial Group Inc,MTU,146421.9
19,J.P. Morgan Chase & Co.,JPM,138596.3
20,ROYAL DUTCH SHELL PLC,RDS/A,133773.4
21,ChevronTexaco Corporation,CVX,133307.1
22,Sanofi-Aventis SA,SNY,128920.2
23,Vodafone AirTouch Public Limited Company,VOD,128885.4
24,Intel Corporation,INTC,128146.4
25,International Business Machines Corporation,IBM,127641
26,ENI S.p.A.,E,121462.5
27,"Cisco Systems, Inc.",CSCO,114067.1
28,Berkshire Hathaway Inc.,BRK/A,112846.9
29,UBS AG,UBS,110546.6
30,Wells Fargo Cap IX,WFC,104281.1
31,AT&T Inc.,T,101549.8
32,ROYAL DUTCH SHELL PLC,RDS/B,99061
33,Coca-Cola Company (The),KO,98450.1
34,China Mobile (Hong Kong) Ltd.,CHL,97501.2
35,"Pepsico, Inc.",PEP,94976
36,Verizon Communications Inc.,VZ,92763.8
37,CONOCOPHILLIPS,COP,92112.7
38,"Genentech, Inc.",DNA,90603.7
39,Amgen Inc.,AMGN,89969.6
40,"Banco Santander Central Hispano, S.A.",STD,89248.8
41,Hewlett-Packard Company,HPQ,87958.6
42,Google Inc.,GOOG,86317
43,"Home Depot, Inc. (The)",HD,86139.8
44,Wachovia Corporation,WB,85370.3
45,Siemens AG,SI,81605.6
46,Nokia Corporation,NOK,81494.8
47,UnitedHealth Group Incorporated,UNH,81108.3
48,Time Warner Inc.,TWX,80206.1
49,QUALCOMM Incorporated,QCOM,78855.3
50,"ING Group, N.V.",ING,78822.7
51,Exxon Mobil Corporation,XOM,384845.8
52,General Electric Company,GE,346042.1
53,Microsoft Corporation,MSFT,299647.6
54,BP p.l.c.,BP,248469.7
55,"Citigroup, Inc.",C,231977.7
56,Procter & Gamble Company (The),PG,194814
57,"Wal-Mart Stores, Inc.",WMT,191978.5
58,"Pfizer, Inc.",PFE,189297.4
59,"HSBC Holdings, plc.",HBC,188804.6
60,Toyota Motor Corporation,TM,187196.4
61,JOHNSON & JOHNSON,JNJ,179515.8
62,Bank of America Corporation,BAC,176906.2
63,"American International Group, Inc.",AIG,169908.5
64,"TotalFinaElf, S.A.",TOT,169852.6
65,Novartis AG,NVS,151092.7
66,Altria Group,MO,150638.6
67,GLAXOSMITHKLINE PLC,GSK,149062.8
68,Mitsubishi UFJ Financial Group Inc,MTU,146421.9
69,J.P. Morgan Chase & Co.,JPM,138596.3
70,ROYAL DUTCH SHELL PLC,RDS/A,133773.4
71,ChevronTexaco Corporation,CVX,133307.1
72,Sanofi-Aventis SA,SNY,128920.2
73,Vodafone AirTouch Public Limited Company,VOD,128885.4
74,Intel Corporation,INTC,128146.4
75,International Business Machines Corporation,IBM,127641
76,ENI S.p.A.,E,121462.5
77,"Cisco Systems, Inc.",CSCO,114067.1
78,Berkshire Hathaway Inc.,BRK/A,112846.9
79,UBS AG,UBS,110546.6
80,Wells Fargo Cap IX,WFC,104281.1
81,AT&T Inc.,T,101549.8
82,ROYAL DUTCH SHELL PLC,RDS/B,99061
83,Coca-Cola Company (The),KO,98450.1
84,China Mobile (Hong Kong) Ltd.,CHL,97501.2
85,"Pepsico, Inc.",PEP,94976
86,Verizon Communications Inc.,VZ,92763.8
87,CONOCOPHILLIPS,COP,92112.7
88,"Genentech, Inc.",DNA,90603.7
89,Amgen Inc.,AMGN,89969.6
90,"Banco Santander Central Hispano, S.A.",STD,89248.8
91,Hewlett-Packard Company,HPQ,87958.6
92,Google Inc.,GOOG,86317
93,"Home Depot, Inc. (The)",HD,86139.8
94,Wachovia Corporation,WB,85370.3
95,Siemens AG,SI,81605.6
96,Nokia Corporation,NOK,81494.8
97,UnitedHealth Group Incorporated,UNH,81108.3
98,Time Warner Inc.,TWX,80206.1
99,QUALCOMM Incorporated,QCOM,78855.3
100,"ING Group, N.V.",ING,78822.7
101,NTT Docomo Inc,DCM,77676.5
102,E.ON AG,EON,77504.8
103,ASTRAZENECA PLC,AZN,76838.5
104,"Merck & Company, Inc.",MRK,75438.8
105,Schlumberger N.V.,SLB,75079.3
106,Telefonica SA,TEF,75014.4
107,Mobile TeleSystems,MBT,74709.9
108,Nippon Telegraph and Telephone Corporation,NTT,73164.2
109,BHP Billiton Limited,BHP,70814.2
110,CREDIT SUISSE GROUP,CSR,70042.9
111,Barclays PLC,BCS,69336.3
112,Dell Inc.,DELL,68981.7
113,"Merrill Lynch & Co., Inc.",MER,68778.1
114,Banco Bilbao Viscaya Argentaria S.A.,BBV,68630.8
115,"Medtronic, Inc.",MDT,68305.8
116,Abbott Laboratories,ABT,66935.5
117,Deutsche Telekom AG,DT,66534.4
118,American Express Company,AXP,65090.5
119,Morgan Stanley,MS,64994.3
120,"SAP Aktiengesellschaft Systeme, Anwendungen, Produkte",SAP,64993.5
121,Sprint Nextel Corporation,S,64848.1
122,Oracle Corporation,ORCL,64758.4
123,Eli Lilly and Company,LLY,64355.9
