TICKER,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,peerCount,governanceScore,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,militaryContract
INTC,False,False,False,5.63,False,False,False,False,False,31,6.9,False,False,16.88,3,UNDER_PERF,False,False,False,14.57,Semiconductors,False,4.36,False
MSFT,False,False,False,8.06,False,False,False,False,False,105,4.73,False,False,13.26,3,UNDER_PERF,False,False,False,6.32,Software & Services,False,0.46,False
CRM,False,False,False,6.54,False,False,False,False,False,105,4.43,False,False,13.31,2,UNDER_PERF,False,False,False,6.44,Software & Services,False,2.34,False
BAC,False,False,False,14.37,False,False,False,False,False,175,11.28,False,False,27.27,3,Not Available,False,False,False,50.84,Banks,False,1.62,False
PYPL,False,False,False,9.89,False,False,False,False,False,105,5.76,False,False,16.39,2,LAG_PERF,False,False,False,13.23,Software & Services,False,0.74,False
AAPL,False,False,False,6.86,False,False,False,False,False,55,8.76,False,False,16.27,3,LAG_PERF,False,False,False,12.87,Technology Hardware,False,0.65,False
NVDA,False,False,False,4.11,False,False,False,False,False,31,6.13,False,False,12.77,2,LAG_PERF,False,False,False,5.4,Semiconductors,False,2.53,False
VZ,False,False,False,9.28,False,False,False,False,False,68,5.7,False,False,16.7,3,LAG_PERF,False,False,False,14.01,Telecommunication Services,False,1.72,False
CSCO,False,False,False,5.59,False,False,False,False,False,55,6.21,False,False,11.83,2,LAG_PERF,False,False,False,4.01,Technology Hardware,False,0.03,False
EXC,False,False,False,8.97,True,False,False,False,False,107,6.34,False,False,24.36,3,Not Available,False,False,False,39.67,Utilities,False,9.05,False
PEP,False,False,False,6.55,False,False,False,False,False,94,4.55,True,False,16.01,3,LAG_PERF,False,False,False,12.12,Food Products,False,4.91,False
MA,False,False,False,8.1,False,False,False,False,False,105,8.81,False,False,17.23,4,LAG_PERF,False,False,False,15.47,Software & Services,False,0.32,False
HIG,False,False,False,6.34,False,False,False,False,False,97,8.53,False,False,16.38,2,LAG_PERF,False,False,False,13.2,Insurance,False,1.5,False
C,False,False,False,12.77,False,False,False,False,False,175,13.34,False,False,27.77,4,Not Available,False,False,False,52.91,Banks,False,1.66,False
ANTM,False,False,False,5.76,False,False,False,False,False,58,5.8,False,False,11.59,2,LAG_PERF,False,False,False,3.71,Healthcare,False,0.03,False
ACN,False,False,False,4.32,False,False,False,False,False,105,4.83,False,False,9.45,2,Not Available,False,False,False,1.88,Software & Services,False,0.29,False
T,False,False,False,13.15,False,False,False,False,False,68,6.76,False,False,22.17,3,Not Available,False,False,False,31.43,Telecommunication Services,False,2.27,False
IBM,False,False,False,6.67,False,False,False,False,False,105,7.64,False,False,14.77,2,LAG_PERF,False,False,False,9.23,Software & Services,False,0.47,False
F,False,False,False,11.34,False,False,False,False,False,37,8.96,False,False,29.57,3,Not Available,False,False,False,59.71,Automobiles,False,9.27,False
ADBE,False,False,False,5.65,False,False,False,False,False,105,4.64,False,False,10.78,1,LAG_PERF,False,False,False,2.83,Software & Services,False,0.48,False
V,False,False,False,7.84,False,False,False,False,False,105,7.51,False,False,16.06,3,LAG_PERF,False,False,False,12.29,Software & Services,False,0.71,False
OC,False,False,False,2.62,False,False,False,False,False,14,4.81,False,False,15.23,1,LAG_PERF,False,False,False,10.27,Building Products,False,7.8,False
INTU,False,False,False,10.52,False,False,False,False,False,105,5.0,False,False,16.5,2,LAG_PERF,False,False,False,13.54,Software & Services,False,0.97,False
WFC,False,False,False,15.4,False,False,False,False,False,175,15.51,False,False,32.84,5,LEAD_PERF,False,False,False,70.84,Banks,False,1.94,False
MRK,False,False,False,11.47,False,False,False,False,True,83,9.64,True,False,21.91,3,Not Available,False,False,False,30.49,Pharmaceuticals,False,0.79,False
HPQ,False,False,False,4.99,False,False,False,False,False,55,5.11,True,False,10.26,2,LAG_PERF,False,False,False,2.33,Technology Hardware,False,0.16,False
JPM,False,False,False,16.61,False,False,False,False,False,175,11.61,False,False,29.33,3,Not Available,False,False,False,58.81,Banks,False,1.11,False
WDAY,False,False,False,5.99,False,False,False,False,False,105,6.17,False,False,13.09,0,LAG_PERF,False,False,False,5.98,Software & Services,False,0.93,False
GM,False,False,False,12.92,False,False,False,False,False,37,7.69,False,False,30.89,4,LEAD_PERF,False,False,False,64.42,Automobiles,False,10.28,False
AEP,False,False,False,7.16,True,False,False,False,False,107,5.56,False,False,30.55,2,LEAD_PERF,True,False,False,63.21,Utilities,False,17.83,False
ILMN,False,False,False,3.6,False,False,False,False,True,83,6.58,True,False,11.4,3,LAG_PERF,False,False,False,3.49,Pharmaceuticals,False,1.22,False
UNH,False,False,False,11.52,False,False,False,False,True,58,5.89,False,False,17.44,3,LAG_PERF,False,False,False,16.11,Healthcare,False,0.03,False
CI,False,False,False,5.99,False,False,False,False,False,61,5.65,False,False,11.65,2,LAG_PERF,False,False,False,2.83,Healthcare,False,0.02,False
LNG,False,False,False,9.84,False,False,False,False,False,39,3.81,False,False,24.61,2,Not Available,False,False,False,40.73,Refiners & Pipelines,False,10.96,False
BIIB,False,False,False,12.76,False,False,False,False,True,83,7.85,True,False,20.62,2,Not Available,False,False,False,26.14,Pharmaceuticals,False,0.02,False
AMAT,False,False,False,2.62,False,False,False,False,False,31,5.13,False,False,11.6,1,LAG_PERF,False,False,False,3.71,Semiconductors,False,3.84,False
DAL,False,False,False,11.83,False,False,False,False,False,46,5.15,False,False,26.46,2,Not Available,False,False,False,47.89,Transportation,False,9.48,False
CL,False,False,False,9.35,False,False,False,False,False,28,6.72,True,False,22.12,3,Not Available,False,False,False,31.27,Household Products,False,6.06,False
EQIX,False,False,False,5.76,False,False,False,False,False,108,5.7,False,False,14.71,1,LAG_PERF,False,False,False,9.11,Real Estate,False,3.25,False
UPS,False,False,False,9.26,False,False,False,False,False,46,5.31,False,False,20.16,2,Not Available,False,False,False,24.58,Transportation,False,5.59,False
NEM,False,False,False,9.94,False,False,False,False,False,15,5.05,False,False,23.22,3,Not Available,False,False,False,35.38,Precious Metals,False,8.24,False
LMT,False,True,False,15.93,False,False,False,False,False,22,7.61,False,False,28.81,3,Not Available,False,False,False,56.76,Aerospace & Defense,False,5.27,True
BLK,False,False,False,9.7,False,False,False,False,False,89,9.48,False,False,20.66,2,Not Available,False,False,False,26.33,Diversified Financials,False,1.49,False
AKAM,False,False,False,10.35,False,False,False,False,False,105,7.66,False,False,19.94,1,LAG_PERF,False,False,False,23.77,Software & Services,False,1.93,False
EIX,False,False,False,10.57,True,False,False,False,False,107,6.36,False,False,27.43,3,Not Available,False,False,False,51.53,Utilities,False,10.49,False
